"filename", "language", "XML", "PlantUML", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\OptimizedRoute.puml", "PlantUML", 0, 17, 0, 0, 4, 3, 24
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\Particle.puml", "PlantUML", 0, 16, 0, 0, 4, 3, 23
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\PlacesResponse.puml", "PlantUML", 0, 47, 0, 0, 4, 6, 57
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RetrofitConfig.puml", "PlantUML", 0, 11, 0, 0, 4, 3, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RoadsResponse.puml", "PlantUML", 0, 31, 0, 0, 4, 5, 40
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteController.puml", "PlantUML", 0, 7, 0, 0, 4, 3, 14
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteRequestObject.puml", "PlantUML", 0, 17, 0, 0, 4, 3, 24
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RouteService.puml", "PlantUML", 0, 50, 0, 0, 4, 4, 58
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunDataPoint.puml", "PlantUML", 0, 30, 0, 0, 4, 3, 37
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunDataSummary.puml", "PlantUML", 0, 22, 0, 0, 4, 3, 29
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunPointsUpdateRequestObject.puml", "PlantUML", 0, 11, 0, 0, 4, 3, 18
"c:\Users\shalev\Desktop\MyJava\run_app_proj\run-app-proj\BOOK\uml-diagrams\class-diagrams\vscode_diagrams\detailed\RunSession.puml", "PlantUML", 0, 25, 0, 0, 4, 3, 32
